,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
0,0.0714,0.763,0.598,0.0,11.0,0.112,6.865,1.0,0.0539,140.987,0.182
1,1.07e-05,0.412,0.951,0.0,9.0,0.295,4.607,0.0,0.0766,135.118,0.499
2,8.74e-05,0.438,0.94,0.0,2.0,0.3,3.249,1.0,0.0452,100.99,0.421
3,0.0714,0.763,0.807,0.0,1.0,0.348,3.714,1.0,0.035,103.038,0.559
4,0.00345,0.597,0.786,0.0,5.0,0.0909,4.248,1.0,0.0419,99.888,0.666
5,0.000202,0.463,0.983,0.0,8.0,0.303,3.254,0.0,0.138,130.394,0.37
6,0.0483,0.641,0.967,0.0,5.0,0.442,4.289,0.0,0.0601,113.017,0.725
7,0.277,0.705,0.473,0.0,1.0,0.107,11.151,0.0,0.028,100.005,0.425
8,0.00762,0.632,0.908,0.0,8.0,0.167,3.511,1.0,0.0458,110.024,0.764
9,0.0492,0.755,0.553,0.0,6.0,0.0646,9.449,0.0,0.107,119.7,0.836
10,0.145,0.733,0.71,0.0,5.0,0.0956,5.849,0.0,0.0292,127.975,0.965
11,0.0191,0.521,0.752,0.0,11.0,0.0682,5.374,0.0,0.0369,105.051,0.3
12,0.000356,0.597,0.777,0.0,8.0,0.169,5.638,1.0,0.0668,111.999,0.776
13,3.94e-05,0.402,0.85,0.0,11.0,0.451,6.773,0.0,0.0401,142.006,0.424
14,0.0212,0.43,0.738,0.0,10.0,0.33,7.076,1.0,0.0375,137.986,0.0944
15,0.843,0.565,0.257,3.0,0.0,0.109,14.04,1.0,0.0579,76.493,0.111
16,0.943,0.381,0.306,0.0,1.0,0.125,14.489,1.0,0.0303,147.87,0.156
17,0.323,0.679,0.754,0.0,8.0,0.126,6.965,1.0,0.186,86.993,0.905
18,0.00192,0.558,0.74,8.0,6.0,0.129,6.22,1.0,0.0448,118.293,0.217
19,0.00276,0.476,0.894,0.0,6.0,0.158,3.636,1.0,0.0469,115.053,0.159
20,9.13e-05,0.52,0.873,1.0,2.0,0.226,5.365,1.0,0.0572,140.027,0.52
21,0.0892,0.568,0.719,1.0,8.0,0.233,5.406,1.0,0.0354,106.036,0.539
22,0.0415,0.389,0.889,0.0,9.0,0.463,6.546,1.0,0.0442,171.121,0.524
23,0.0463,0.567,0.91,0.0,2.0,0.332,5.317,1.0,0.0521,90.008,0.717
24,7.14e-05,0.595,0.866,0.0,6.0,0.629,4.629,1.0,0.0316,104.984,0.368
25,0.000565,0.378,0.979,0.0,3.0,0.226,2.622,0.0,0.133,125.1,0.535
26,0.00159,0.473,0.91,5.0,9.0,0.248,7.06,1.0,0.0391,131.052,0.293
27,0.00268,0.401,0.94,0.0,7.0,0.298,6.037,1.0,0.0758,111.982,0.321
28,0.00491,0.523,0.898,0.0,11.0,0.0746,6.765,0.0,0.0567,123.085,0.355
29,0.0127,0.67,0.876,0.0,5.0,0.109,4.905,0.0,0.0536,126.968,0.736
30,0.0255,0.6,0.736,0.0,1.0,0.167,3.533,0.0,0.0364,91.99,0.122
31,0.00319,0.436,0.871,0.0,9.0,0.114,4.446,1.0,0.0384,138.743,0.71
32,0.0134,0.405,0.647,7.0,5.0,0.819,6.109,0.0,0.0482,131.952,0.196
33,0.0941,0.485,0.619,3.0,5.0,0.109,7.115,0.0,0.0289,138.017,0.416
34,0.00193,0.425,0.733,0.0,9.0,0.171,6.883,1.0,0.0396,117.985,0.313
35,0.599,0.577,0.749,0.0,5.0,0.183,7.215,0.0,0.0279,130.969,0.261
36,0.0372,0.597,0.848,2.0,0.0,0.122,5.841,1.0,0.0308,128.009,0.437
37,0.0121,0.594,0.614,0.0,5.0,0.823,6.091,0.0,0.0536,79.968,0.101
38,0.256,0.351,0.622,3.0,8.0,0.613,6.495,0.0,0.235,83.375,0.457
39,0.000105,0.399,0.761,0.0,9.0,0.0757,6.318,1.0,0.0334,140.084,0.243
40,0.459,0.617,0.778,0.0,9.0,0.128,8.871,0.0,0.027,100.363,0.152
41,0.465,0.668,0.61,0.0,0.0,0.42,11.194,1.0,0.0352,110.665,0.589
42,0.0522,0.449,0.585,8.0,5.0,0.0833,6.762,1.0,0.0268,139.627,0.203
43,0.916,0.43,0.145,0.0,11.0,0.108,17.033,1.0,0.0332,133.093,0.0744
44,0.99,0.317,0.149,0.0,0.0,0.0757,19.294,1.0,0.0304,160.646,0.327
45,0.174,0.56,0.799,0.0,5.0,0.304,4.466,0.0,0.0675,69.972,0.304
46,0.0724,0.558,0.794,2.0,1.0,0.19,3.234,1.0,0.0533,142.156,0.297
47,0.0452,0.475,0.613,0.0,1.0,0.294,6.217,1.0,0.382,166.755,0.718
48,0.000954,0.775,0.823,0.0,1.0,0.144,6.091,1.0,0.271,130.041,0.273
49,0.0357,0.635,0.8,0.0,0.0,0.515,6.394,1.0,0.0412,97.536,0.318
50,0.0576,0.59,0.836,2.0,0.0,0.196,5.391,1.0,0.0425,144.066,0.693
51,0.0259,0.644,0.638,0.0,11.0,0.13,7.068,1.0,0.0352,150.931,0.958
52,0.00685,0.353,0.866,0.0,2.0,0.325,3.163,1.0,0.0658,142.858,0.293
53,0.473,0.475,0.667,0.0,8.0,0.398,8.639,0.0,0.425,184.999,0.703
54,5e-05,0.378,0.694,0.0,6.0,0.0855,5.593,1.0,0.0306,177.902,0.152
55,0.00113,0.348,0.883,3.0,0.0,0.458,4.857,1.0,0.047,128.986,0.245
56,0.0382,0.476,0.717,7.0,9.0,0.0818,9.192,1.0,0.0949,93.584,0.753
57,0.000501,0.466,0.763,0.0,0.0,0.0973,4.448,1.0,0.0318,154.914,0.293
58,0.00153,0.358,0.874,5.0,0.0,0.0653,4.814,1.0,0.0408,174.009,0.299
59,0.00296,0.514,0.899,0.0,3.0,0.361,6.998,1.0,0.111,126.056,0.198
60,0.000453,0.492,0.802,0.0,11.0,0.113,6.03,0.0,0.0356,105.948,0.265
61,0.000612,0.58,0.791,0.0,8.0,0.234,6.899,1.0,0.0379,126.004,0.16
62,0.0604,0.475,0.778,0.0,11.0,0.402,9.191,0.0,0.103,158.862,0.609
63,0.463,0.63,0.616,0.0,1.0,0.173,8.128,0.0,0.0309,118.65,0.509
64,0.239,0.839,0.583,0.0,1.0,0.262,5.941,1.0,0.268,87.99,0.564
65,0.000561,0.286,0.892,0.0,5.0,0.157,3.767,0.0,0.0731,172.016,0.374
66,0.00328,0.635,0.435,6.0,3.0,0.071,7.521,1.0,0.031,76.098,0.459
67,0.107,0.542,0.819,0.0,5.0,0.187,3.735,1.0,0.161,175.711,0.714
68,0.00201,0.509,0.906,0.0,1.0,0.0957,3.971,0.0,0.0498,139.932,0.541
69,0.00789,0.647,0.805,0.0,4.0,0.168,6.269,0.0,0.0279,114.638,0.707
70,0.0579,0.612,0.668,0.0,6.0,0.341,6.143,0.0,0.0302,117.62,0.524
71,0.000798,0.47,0.89,1.0,2.0,0.196,4.672,1.0,0.0456,154.982,0.628
72,0.0687,0.59,0.746,0.0,2.0,0.37,6.91,0.0,0.0291,112.997,0.52
73,0.212,0.635,0.925,0.0,0.0,0.0857,3.59,1.0,0.0343,128.611,0.966
74,0.00226,0.296,0.732,0.0,0.0,0.0848,7.147,1.0,0.0346,137.774,0.344
75,0.00611,0.535,0.931,7.0,8.0,0.0887,4.012,1.0,0.0451,120.958,0.825
76,0.00133,0.678,0.678,0.0,7.0,0.0855,5.866,1.0,0.038,123.207,0.433
77,3.6e-05,0.446,0.843,4.0,10.0,0.222,5.868,0.0,0.0555,158.226,0.579
78,8.86e-06,0.402,0.898,8.0,11.0,0.279,6.467,0.0,0.0316,132.092,0.675
79,0.000105,0.519,0.815,0.0,4.0,0.0993,6.349,0.0,0.0354,119.944,0.497
80,0.0263,0.655,0.805,0.0,6.0,0.28,6.493,1.0,0.0335,119.029,0.701
81,0.0399,0.723,0.879,0.0,2.0,0.145,6.661,1.0,0.0327,136.286,0.908
82,0.0361,0.349,0.866,0.0,11.0,0.216,6.676,0.0,0.112,167.951,0.488
83,0.559,0.368,0.744,0.0,2.0,0.352,4.841,1.0,0.0411,142.84,0.525
84,0.00121,0.504,0.705,4.0,6.0,0.453,6.179,0.0,0.0665,108.965,0.567
85,0.271,0.522,0.826,0.0,9.0,0.267,7.897,1.0,0.0549,90.105,0.931
86,0.127,0.641,0.582,0.0,4.0,0.354,6.554,1.0,0.0483,181.039,0.725
87,5.96e-05,0.412,0.882,0.0,11.0,0.0805,5.54,0.0,0.0369,158.066,0.356
88,6.2e-05,0.374,0.927,0.0,4.0,0.0575,4.212,1.0,0.0652,154.047,0.301
89,0.0477,0.328,0.86,0.0,2.0,0.212,3.198,0.0,0.12,187.828,0.285
90,0.0532,0.706,0.958,0.0,1.0,0.249,2.839,1.0,0.0539,114.73,0.88
91,0.289,0.537,0.712,0.0,5.0,0.08,5.597,1.0,0.0286,159.871,0.704
92,0.0438,0.634,0.849,0.0,0.0,0.363,7.075,1.0,0.105,156.004,0.919
93,0.135,0.613,0.814,0.0,0.0,0.116,4.546,1.0,0.029,99.991,0.226
94,0.605,0.669,0.389,0.0,0.0,0.0905,11.547,1.0,0.0306,130.015,0.649
95,0.00152,0.4,0.729,0.0,8.0,0.324,3.943,1.0,0.0461,75.369,0.476
96,0.0292,0.252,0.827,0.0,9.0,0.173,6.336,1.0,0.0406,157.725,0.475
97,0.00442,0.434,0.842,0.0,4.0,0.308,4.468,1.0,0.038,169.935,0.838
98,0.33,0.609,0.799,0.0,9.0,0.108,6.883,1.0,0.24,157.74,0.582
99,0.00315,0.481,0.505,0.0,3.0,0.67,8.19,0.0,0.296,98.331,0.765
