,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
0,0.569,0.356,0.743,0.0,2.0,0.328,4.842,1.0,0.0412,142.768,0.518
1,0.0766,0.37,0.848,0.0,1.0,0.144,4.957,1.0,0.0649,150.915,0.441
2,0.00944,0.589,0.843,8.0,7.0,0.224,4.996,1.0,0.07,104.015,0.638
3,0.00203,0.68,0.65,0.0,7.0,0.0622,6.336,1.0,0.0378,123.238,0.486
4,0.0443,0.599,0.858,0.0,11.0,0.106,5.84,1.0,0.0334,113.04,0.701
5,0.0453,0.31,0.907,0.0,2.0,0.247,2.279,0.0,0.0591,149.931,0.516
6,0.557,0.597,0.575,0.0,2.0,0.254,6.665,1.0,0.04,122.959,0.621
7,0.0845,0.244,0.939,0.0,6.0,0.371,3.112,1.0,0.0548,161.127,0.857
8,0.022,0.443,0.848,0.0,5.0,0.0869,5.073,1.0,0.0547,139.937,0.2
9,0.121,0.359,0.875,0.0,6.0,0.359,6.313,0.0,0.0678,146.984,0.465
10,0.00417,0.356,0.872,0.0,2.0,0.0997,7.837,1.0,0.068,166.3,0.607
11,0.00121,0.504,0.705,4.0,6.0,0.453,6.179,0.0,0.0665,108.965,0.567
12,0.127,0.641,0.582,0.0,4.0,0.354,6.554,1.0,0.0483,181.039,0.725
13,0.0361,0.349,0.866,0.0,11.0,0.216,6.676,0.0,0.112,167.951,0.488
14,0.133,0.761,0.828,0.0,9.0,0.348,7.259,1.0,0.0721,139.616,0.935
15,0.691,0.329,0.612,0.0,4.0,0.126,8.5,1.0,0.072,172.023,0.686
16,0.184,0.494,0.677,0.0,6.0,0.0926,10.233,1.0,0.0452,101.539,0.316
17,8.86e-06,0.402,0.898,8.0,11.0,0.279,6.467,0.0,0.0316,132.092,0.675
18,0.00128,0.497,0.738,0.0,5.0,0.0725,4.09,1.0,0.0396,129.078,0.599
19,0.0287,0.506,0.899,0.0,11.0,0.2,4.793,0.0,0.0364,150.27,0.475
20,0.000642,0.229,0.812,0.0,0.0,0.0742,5.049,1.0,0.0499,206.489,0.524
21,0.0438,0.634,0.849,0.0,0.0,0.363,7.075,1.0,0.105,156.004,0.919
22,6.2e-05,0.374,0.927,0.0,4.0,0.0575,4.212,1.0,0.0652,154.047,0.301
23,0.392,0.47,0.623,0.0,0.0,0.0992,5.655,1.0,0.0302,77.861,0.298
24,0.0178,0.549,0.789,6.0,5.0,0.059,6.071,1.0,0.0313,136.125,0.715
25,0.00781,0.266,0.946,2.0,9.0,0.26,2.855,1.0,0.171,168.461,0.498
26,0.0382,0.476,0.717,7.0,9.0,0.0818,9.192,1.0,0.0949,93.584,0.753
27,0.0372,0.719,0.671,8.0,8.0,0.12,6.279,1.0,0.0336,130.027,0.786
28,0.00616,0.288,0.758,0.0,6.0,0.303,5.692,0.0,0.0371,97.094,0.619
29,0.0132,0.524,0.578,0.0,9.0,0.108,4.563,1.0,0.12,123.669,0.537
30,0.194,0.721,0.627,0.0,5.0,0.112,6.471,0.0,0.0332,130.012,0.901
31,0.0104,0.548,0.816,0.0,2.0,0.152,4.478,1.0,0.0499,174.993,0.857
32,0.0238,0.63,0.908,0.0,11.0,0.116,2.42,1.0,0.0326,120.522,0.968
33,4.2e-05,0.288,0.907,0.0,7.0,0.277,5.753,1.0,0.0576,84.483,0.349
34,0.000239,0.329,0.814,0.0,7.0,0.0936,6.005,1.0,0.0674,120.462,0.419
35,0.186,0.548,0.532,0.0,5.0,0.217,7.596,1.0,0.0323,85.03,0.405
36,0.0875,0.482,0.642,7.0,10.0,0.31,8.535,0.0,0.325,151.323,0.6
37,0.0038,0.467,0.604,0.0,9.0,0.0696,5.431,1.0,0.0305,105.166,0.167
38,0.0483,0.691,0.631,1.0,2.0,0.104,6.478,1.0,0.0368,92.004,0.8
39,0.000339,0.28,0.868,3.0,1.0,0.157,5.069,0.0,0.0717,122.306,0.385
40,0.0144,0.406,0.887,0.0,11.0,0.369,4.427,0.0,0.083,167.897,0.806
41,0.00545,0.607,0.881,0.0,8.0,0.285,5.354,1.0,0.053,94.994,0.34
42,0.348,0.671,0.445,5.0,4.0,0.155,7.842,0.0,0.0291,75.996,0.811
43,0.181,0.571,0.743,0.0,2.0,0.424,8.819,0.0,0.0387,79.534,0.566
44,0.00256,0.363,0.493,0.0,0.0,0.21,6.764,1.0,0.0297,153.091,0.376
45,0.0485,0.746,0.79,0.0,11.0,0.0534,4.7,0.0,0.0257,107.231,0.891
46,0.000123,0.264,0.886,0.0,0.0,0.0982,4.342,1.0,0.0662,89.979,0.51
47,0.000867,0.52,0.981,0.0,2.0,0.197,2.75,1.0,0.0906,158.937,0.633
48,0.000672,0.327,0.742,0.0,9.0,0.154,6.556,1.0,0.0362,102.024,0.701
49,0.612,0.404,0.759,0.0,3.0,0.136,6.097,1.0,0.0433,135.062,0.173
50,0.00522,0.288,0.794,3.0,10.0,0.0889,3.439,0.0,0.133,104.471,0.607
51,0.00575,0.502,0.966,1.0,0.0,0.117,3.876,1.0,0.0946,159.948,0.638
52,0.00111,0.65,0.886,0.0,11.0,0.334,4.821,1.0,0.0483,124.013,0.88
53,0.00448,0.447,0.967,0.0,0.0,0.487,2.706,1.0,0.0793,179.991,0.606
54,0.00575,0.502,0.966,1.0,0.0,0.117,3.876,1.0,0.0946,159.948,0.638
55,0.00737,0.532,0.879,9.0,7.0,0.348,4.751,1.0,0.0404,159.949,0.735
56,0.00271,0.568,0.932,0.0,7.0,0.047,2.925,1.0,0.0987,88.519,0.752
57,0.0113,0.463,0.952,0.0,9.0,0.0715,3.828,1.0,0.147,170.066,0.429
58,0.114,0.679,0.71,0.0,8.0,0.255,5.009,0.0,0.0321,97.99,0.685
59,5.32e-05,0.474,0.794,0.0,11.0,0.559,6.352,0.0,0.0546,140.086,0.338
